排名：1  视频名称:“每日一遍，智商再见”  播放量467.0万  评论数5.6万  UP主：枫泽雨畔  
排名：2  视频名称:我的老婆们突然叫爸爸（配音模仿）  播放量235.8万  评论数5.1万  UP主：hanser  
排名：3  视频名称:“ᴰᵒ ʸᵒᵘ ᴸⁱᵏᵉ ᴿᵃⁱⁿ”  “ᴵ ᴾʳᵉᶠᵉʳ ʸᵒᵘ”  播放量179.0万  评论数2.1万  UP主：快乐的Ler  
排名：4  视频名称:【师生对线】这网课上得就尼玛离谱！（第四集）  播放量339.8万  评论数6.3万  UP主：鹤吱菌  
排名：5  视频名称:【自制】技术宅UP耗时三个月，自制B站最强小电视！【极度硬核】【3分钟从草图到实物】  播放量110.3万  评论数9825  UP主：稚晖君  
排名：6  视频名称:新冠病毒来源于美国？此说法是阴谋论还是合理怀疑？  播放量169.4万  评论数1.6万  UP主：NathanRich火锅大王  
排名：7  视频名称:他还认识我吗？  播放量179.2万  评论数4.3万  UP主：花少北丶  
排名：8  视频名称:建 议 改 成: 杀 羿 儆 百  播放量150.3万  评论数3.3万  UP主：木下结草  
排名：9  视频名称:【罗翔】我们到底为什么要做一个诚信的人？  播放量113.9万  评论数4.0万  UP主：罗翔说刑法  
排名：10  视频名称:【冰雪奇缘】步 入 迷 惑  播放量73.8万  评论数7273  UP主：生化企鹅EID  
排名：11  视频名称:不要“做”挑战 ？  播放量135.8万  评论数1.4万  UP主：小潮院长  
排名：12  视频名称:B站唯一敢做这件事的情侣  播放量116.9万  评论数4.1万  UP主：宝剑嫂  
排名：13  视频名称:非  自  然  死  亡  播放量191.8万  评论数4483  UP主：-STA-  
排名：14  视频名称:（再见了，小破站）up的最后一个作品，能进来看看吗？  播放量96.2万  评论数2.7万  UP主：ggffggbh  
排名：15  视频名称:【全明星】Despacito  播放量45.5万  评论数8771  UP主：守护芙音  
排名：16  视频名称:哄女票必备  播放量61.4万  评论数438  UP主：锦瑟遗珠  
排名：17  视频名称:10分钟高效瘦大腿运动，躺在床上练出女团腿！亲测一周大腿细了3厘米，新手友好，无跑跳，无器械！  播放量45.1万  评论数7653  UP主：韩小四April  
排名：18  视频名称:日本人为什么要排队抢纳豆？其实你也被这种心理套路了....  播放量133.5万  评论数5.7万  UP主：纳豆奶奶  
排名：19  视频名称:【半佛】如何用商业思维破解婚姻  播放量92.0万  评论数1.6万  UP主：硬核的半佛仙人  
排名：20  视频名称:2020逆风翻盘！疫情结束后的新机会丨ztalk  播放量82.8万  评论数3.8万  UP主：zettaranc  
排名：21  视频名称:神他么还连上了  播放量143.1万  评论数2584  UP主：月色行凶者  
排名：22  视频名称:这TM才叫兄弟！！！  播放量115.3万  评论数2551  UP主：谷谷永不咕咕  
排名：23  视频名称:你踩疼我了！  播放量75.6万  评论数4179  UP主：-影子a  
排名：24  视频名称:给弟弟做夜宵，100元的东北炸串，比外面小摊都好吃！  播放量127.5万  评论数1.7万  UP主：盗月社食遇记  
排名：25  视频名称:【新番导视】9.9分预定！我的青春回来了！  播放量130.0万  评论数1.5万  UP主：凉风Kaze  
排名：26  视频名称:【朱一旦】156 纯情中年少女沦陷记  播放量225.9万  评论数4.6万  UP主：朱一旦的枯燥生活  
排名：27  视频名称:【散人】孙美琪疑案 上世纪未解谜题  播放量60.9万  评论数2.9万  UP主：逍遥散人  
排名：28  视频名称:我二大爷走的时候都没你这么痛苦  播放量256.5万  评论数5497  UP主：大霓奈  
排名：29  视频名称:【罗宝】一款真正的刑法机器人  播放量78.3万  评论数4725  UP主：小话筒microphone  
排名：30  视频名称:卢   姥    爷  播放量137.7万  评论数1.3万  UP主：你看不见我的id了  
排名：31  视频名称:这TM才叫网课！  播放量97.8万  评论数3134  UP主：特效小哥studio  
排名：32  视频名称:【法治之光】罗翔教授打动人心的金句  播放量50.4万  评论数1326  UP主：当橘者迷  
排名：33  视频名称:出来吧！我的童年！光能使者【定格动画】  播放量52.3万  评论数3707  UP主：利利那TD25  
排名：34  视频名称:小伙顶不住诱惑，点开弹窗广告，差点家破人亡...  播放量178.6万  评论数4.1万  UP主：东尼ookii  
排名：35  视频名称:吓人！用VR玩恐怖游戏！  播放量140.6万  评论数3.2万  UP主：徐大虾咯  
